,GSM758901,GSM758908,GSM758921,GSM758928,GSM758961,GSM758973
APOBEC3G,0.03754902,-0.44783688,-1.0313234,-0.5648508,-0.53181076,0.7331524
TNFSF14,1.092577,-0.43849373,-4.034888,-5.127842,1.0492887,-0.14012432
TNFSF15,-0.62228346,-0.8156047,-1.8301523,-3.3440123,-3.4830155,0.24475002
SLC10A2,-0.71328545,-1.8725661,0.9171493,-0.81804967,-2.3993256,0.53005815
TNFSF13,-0.8667164,-0.49429703,-0.68498707,0.06396103,-0.940115,-1.2797346
IGF2,0.014804125,-0.56607103,1.5561266,1.2076449,0.72122526,-0.65953636
IL36G,0.094270706,-0.35782576,0.32195663,-0.5322509,1.0552363,1.6442885
SUCO,0.29791832,-0.19037056,-0.11048508,0.2706852,0.4664364,1.6800032
IGF1,-0.041512012,0.71739006,0.48144007,4.036962,-2.5847502,-0.74068975
CPLANE2,0.35946536,0.3150115,0.017037153,-0.15489078,-0.011450291,0.066598654
BST2,-0.29083633,0.08166313,-0.7317505,-0.20038414,0.24870777,-0.4109106
BST1,-1.3592963,-0.7652035,-2.9658904,-1.6967402,-2.830742,-2.204486
MSRA,0.30187416,0.4029541,0.58267117,0.37229156,-0.70953465,0.5249138
MC1R,0.69068813,0.7096529,0.671401,0.29934597,1.3234158,-0.14077568
ZBTB6,-0.48766708,-0.702436,0.5512743,0.5334215,0.61233854,-0.47027636
SDC1,0.61677456,0.15816712,-0.51505804,0.619061,-0.94065857,-0.8331814
GRB2,0.059770584,-0.13765335,-0.25847912,-0.084732056,-0.63383865,-0.3145914
GRAP,0.20488548,0.38868666,0.18679094,0.33402157,0.32970858,0.072631836
MRPS15,0.20073414,0.20473385,-0.28574085,0.27777576,0.53179646,0.11925888
MRPS11,-0.010228157,0.20351124,-0.2545061,0.86611366,0.73188496,0.021775246
C8A,0.83645487,1.16677,-0.26604867,-0.591434,0.10434914,0.6288924
DMBX1,0.8916373,0.15992832,-0.67904115,-0.59091735,0.157475,-0.593272
RAC3,0.84198284,0.8889227,0.53066444,-0.13532972,-0.3938794,0.12731266
BBS9,-0.3974948,-0.22529316,-0.17193031,-0.11325312,-0.031116486,-0.65707207
FCER1A,5.368,1.7447205,7.9164486,7.867384,7.5739956,5.217306
SDF2,-0.43218613,0.004224777,0.3523655,0.2205925,0.4232006,0.229208
BBS5,-0.35144615,0.44545507,-2.1814017,-0.35112047,0.72614336,0.71902037
EIF5AL1,0.8917942,0.91420937,0.16001987,0.38350868,0.20274639,0.7322626
MRPS28,0.12994194,0.17729378,0.028674126,0.5883236,0.16819954,0.000693
ZHX2,-0.38297033,-0.6173434,-0.5007329,-0.07699013,0.48802567,0.5070133
PCYT1B,-0.5457074,-0.42091435,1.5337403,0.65967536,-1.1766415,-0.72741014
FCER1G,0.21389484,0.5158739,-0.9158783,-0.702281,-0.6085415,-0.5559759
ZHX3,-0.009613991,0.3142376,0.55799055,0.75293493,1.0816808,-0.38993502
MRPS27,0.34666252,0.580534,0.54512787,-0.49991226,1.3387499,0.48098373
SYK,0.15140247,-0.035119057,-0.148489,-0.006979942,-0.15668583,-0.9082985
MRPS22,-0.6154976,-0.17789078,-0.47668552,0.41685867,-0.1193285,-0.111579895
MRPS23,-0.25532532,0.068798065,-0.018661499,0.48412132,0.42603397,0.020528793
MST1,0.29440594,0.50339985,-0.2527666,-0.14709187,-0.3073311,-0.2107048
GAB1,-1.1889083,-1.2721071,-1.8659906,-0.103803635,-1.384254,-0.7051096
CACYBP,0.41674614,0.3849144,0.547297,0.6983137,1.1497498,0.56481457
CNKSR2,0.18962193,0.23504186,0.000883,1.4621589,-1.0590134,-0.88197255
RAP2C,-0.3407359,-0.18103027,-0.30687904,-1.132443,1.8129144,-0.16779184
