"X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HIVEP2",-2.23753965,-2.1465041,-5.48723175565194,0.0011043495509247,0.0376397201934981,-0.627068866338399
"BTN3A3",-1.0300824425,-1.04515582833333,-5.43737704714206,0.00116180867195745,0.0385444763077927,-0.681686889770067
"CXCL8",-3.5913402,-2.88875135,-5.41049484922885,0.0011941793842395,0.0391169521142004,-0.711283419066842
"SMIM3",-1.852214575,-1.76176961666667,-5.39679580113736,0.00121106390775616,0.039469673720962,-0.726405141644977
"CLEC12A",-2.853035675,-2.88595301666667,-5.36598267772367,0.00125003007227954,0.0401315624697505,-0.760515911730307
"AIM2",-1.3367627,-1.03371185366667,-5.35820013144733,0.00126009306113357,0.0402543590272025,-0.769152780089303
"PAG1",-2.1007973,-1.97438478333333,-5.34007715099143,0.00128388059635229,0.0406121641581437,-0.789298759917703
"ELANE",-1.219763525,-1.28867086666667,-5.29331068580789,0.00134762582058331,0.042214705923418,-0.841503153116326
"STOM",-1.3362293,-1.15664258333333,-5.27167441697476,0.00137831212302585,0.0426592449375372,-0.86576170497145
"SPACA6",-1.9873757,-2.05296736666667,-5.26592934392876,0.00138659132590647,0.0426592449375372,-0.87221441840649
"OAS3",-1.21422325,-1.27566575,-5.2405818379312,0.00142379123137781,0.0431348582914602,-0.900741018826483
"ARID3B",-1.365654935,-1.16878381666667,-5.21506637529394,0.00146237100341371,0.043487005000132,-0.929550620472844
"ETS2",-2.275682925,-2.67017776666667,-5.20004610599839,0.00148562886998353,0.0439759775137784,-0.94655425503675
"AZI2",-1.424510475,-1.41981076666667,-5.16224464630967,0.00154601743345911,0.0447374461798728,-0.989492573128197
"IQGAP2",-1.01908684,-1.49116389333333,-5.13734755949994,0.00158729130530276,0.045726744612137,-1.01788685510101
"TNFRSF10C",-1.828035125,-1.54048578666667,-5.12211284922025,0.00161315485009349,0.0462652811006814,-1.03530625929053
"SYTL3",-1.6721096125,-1.74943289166667,-5.10968119991862,0.00163460949779093,0.0466731641117029,-1.04954584547923
"GDPD3",-1.2631551,-1.3796161,-5.08797820243814,0.00167283451164119,0.0468973889515765,-1.07445949802472
"HESX1",-1.502573785,-1.57990872333333,-5.08621627607762,0.00167598139098087,0.0468973889515765,-1.07648511527991
"NRIP1",-1.609903225,-1.319998825,-5.08059389089466,0.00168606760216422,0.0468973889515765,-1.08295200390998
"C5",-1.689242,-1.44959878,-5.05765637875745,0.00172792569826735,0.0478553842528722,-1.10938305216636
"NAMPT",-1.0916535975,-1.10334794833333,-5.02876966824267,0.00178230337678319,0.0487227472948683,-1.14277982356603
"MNDA",-2.170869575,-1.74471125,-5.01865116105118,0.00180180141822667,0.0488530443353642,-1.15450729150407
"VCAN",-3.099207585,-3.35751100666667,-5.00466048691613,0.00182915506862604,0.049113067701178,-1.17074761099449
"SARM1",-1.102961675,-0.8298380475,-5.00209341374904,0.00183422428575607,0.049113067701178,-1.17373060777064
"S100A9",-3.831004775,-4.1956649,-4.98816146379751,0.00186201119154214,0.0496510670207498,-1.18993688787888
