"X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"H2AC18",2.5560421,2.79674188888889,7.51130734451608,1.56926882244989e-05,0.000161765043311008,3.12722864593963
"TG",2.29745478,2.19383818888889,7.50519305546127,1.58076015562059e-05,0.00016268971745167,3.11953251066648
"KIF17",1.6780803,1.92046554444444,7.50356250216244,1.58383997778682e-05,0.00016274712383214,3.11747934370357
"SERF1A",2.05750408,2.33691618888889,7.49388153321271,1.60225953502645e-05,0.000164117155230566,3.10528255372109
"KIR3DL1",2.33577602,2.47952582222222,7.48318331772182,1.62288396181078e-05,0.000165966247314817,3.09179087774028
"PLAT",5.06008564,5.36444884444444,7.47574601611533,1.63739068848807e-05,0.000166657446574346,3.08240336029297
"PKIG",2.49125724,2.55839161111111,7.43165887992988,1.72631046293582e-05,0.0001746062918076,3.02661675076296
"ZC3H12A-DT",2.37205352,2.24192047333333,7.40077177770303,1.79170627421575e-05,0.000180372552067305,2.98739102489522
"GJD3-AS1",1.69198398,1.60936493333333,7.38530547861388,1.82545277159404e-05,0.000183198238492945,2.96770513657676
"LHFPL6",2.05528556,2.14099053333333,7.37606032493837,1.84595224571073e-05,0.000184967854682785,2.95592358082128
"PSD3",2.10464296,1.99073275555556,7.37416653655523,1.85018196305296e-05,0.000185104251280322,2.95350892996978
"SQSTM1",1.6569006,1.43619654,7.36519225985376,1.87036845045559e-05,0.00018683417354164,2.94206036397756
"CSNK1G3",1.75657824,1.98114513333333,7.35795021064896,1.88683181899244e-05,0.000187787634296373,2.93281435248944
"GARIN5A",2.20128172,2.18851856666667,7.34878743300202,1.90788604080788e-05,0.000189118104782385,2.92110681765937
"IL1A",2.47217594,2.65952092222222,7.33655952544542,1.93637914840772e-05,0.000191648077372317,2.90546666976288
"CHRNE",1.56938964,1.52370734444444,7.33280064657283,1.94522998933029e-05,0.00019200378550559,2.90065513449052
"CTH",3.75937338,3.78099892222222,7.31711706008251,1.98263319523479e-05,0.000195029451354422,2.88056049261483
"LTK",1.7837963,2.13586426666667,7.3123357452742,1.99418976712151e-05,0.000195801236043457,2.87442833527384
"IRF9",1.67822342,1.68057176666667,7.31136392958882,1.99654754868425e-05,0.000195801236043457,2.87318160915495
"MARCKS",1.503184706,1.69053173666667,7.303728315179,2.01517777337795e-05,0.000197328409280848,2.86338191532257
"HLA-DOA",1.80692578,1.58399646,7.29591815933354,2.03442806522379e-05,0.000198911580377108,2.85335069693294
"HLA-B",1.55648822,1.4206207,7.27893506753193,2.07697583719781e-05,0.000202152716100112,2.83151166875212
"S100A3",3.14622694,3.48859493333333,7.22780863357301,2.21096226479542e-05,0.000213903140850448,2.76554896144512
"ETV3L",1.50456746,1.60134571111111,7.19667490993215,2.29710055579161e-05,0.000221572345090034,2.72521981665657
"TP63",3.08830632,3.12301646666667,7.16054014571075,2.40163798062634e-05,0.000230314990598556,2.67825928048229
"IL2RG",1.68119296,1.51386948555556,7.14719971138065,2.44151867138282e-05,0.000233451148192392,2.66088038253164
"PRPH2",2.11852342,2.26040696666667,7.11103122629452,2.55327934041232e-05,0.00024265554615141,2.61364923520507
"HLX",1.9265255,1.64119127044444,7.09250827767198,2.61264024198447e-05,0.00024735861204025,2.58939633820548
"ATL1",1.64275952,1.49183734,7.06824974964679,2.69264234186793e-05,0.000254029547252541,2.55756740312045
"ARHGEF5",2.71409842,2.60716451111111,7.05971752533253,2.72140515272292e-05,0.000256368283949212,2.54635463237295
"KIR2DL4",2.11012238,2.00964714444444,7.00692436260393,2.90690402018107e-05,0.000270539010400052,2.47676806536735
"PKN3",2.12302026,1.81409708444444,6.99487963009104,2.95110665049943e-05,0.000273613379535529,2.46084174045843
"FAM225A",2.79905852,2.50217108888889,6.99166943078502,2.96300953002176e-05,0.000274322819185515,2.45659385263473
"H2BC3",1.6140938,1.81493188888889,6.97844344862204,3.01259764429764e-05,0.000277718465695039,2.43907858950368
"MYO1B",2.54945402,2.60532362222222,6.95638314632172,3.09730880892427e-05,0.00028390530886347,2.40981371315567
"LIF",2.37054146,2.22331618888889,6.95059146706127,3.11997160960984e-05,0.000285576975841309,2.40212012578004
"ICMT-DT",1.88353536,1.97457423333333,6.9416878189315,3.15516064161706e-05,0.000288388833149503,2.39028417100309
"CHI3L1",2.66077098,2.48764323333333,6.94053835622758,3.15973462268997e-05,0.000288398409055423,2.38875539843101
"H1-6",1.8698434,2.08224533333333,6.92498159804407,3.22234610579937e-05,0.000293283489714011,2.36804823439392
