,GSM758903,GSM758910,GSM758914,GSM758924,GSM758944,GSM758951,GSM758956,GSM758964,GSM758968
LRRC37BP1,0.30768204,0.07858276,0.38280392,0.39303207,0.41346264,1.1522312,0.6170578,0.21157455,0.48633957
DYSF,-0.9330187,-1.8189282,-0.8067751,-1.0926118,-0.15095043,0.165102,2.2975073,-1.4603162,-1.3363471
BICD1,1.1573443,0.53818464,0.6072278,1.3454876,-0.96659636,1.2187171,0.7518163,0.86652803,1.4295063
TNFSF13B,2.9399033,3.0078678,2.9547234,2.8173637,3.340496,2.520815,3.2117157,3.0368757,2.5552044
UNC80,-0.20930552,0.008153319,-0.89820325,0.8076613,0.7524351,1.2125609,3.5659719,-0.19911933,-0.18250173
SPR,0.9644146,0.9556503,0.7982731,0.7319412,0.571538,0.9499588,0.95004845,1.0425415,0.89261436
BOC,0.7621429,-0.75734425,-0.5697038,-0.001703739,0.001703739,2.2026157,2.711935,-0.92407954,-0.57940257
SPDYE1,0.17568803,0.90031576,-0.18933773,0.19095564,-0.6599767,1.10743,1.8733673,-0.50995994,0.6305566
SPDL1,0.11120367,0.6966057,0.50269413,0.7804327,0.63301945,0.03663397,0.4610777,0.5797076,0.3894906
NEO1,0.5932493,-1.8635747,2.2664003,0.34814453,1.2178769,1.6854453,2.1314178,0.017652512,1.8046346
BCAS2,0.5196638,0.628252,1.0222616,0.9330435,0.6536522,0.4985056,1.5576239,1.0591879,0.847373
MBL2,-0.34551382,0.6347699,-0.7987212,0.52695084,0.5940368,1.1630414,3.4649107,-0.33269274,-0.23636597
UNC45A,0.5511651,0.24949455,0.10167217,0.41977167,0.6589241,-0.10201883,-0.15521479,-0.08886957,-0.30698633
CERS3,-0.28848177,-0.000923,-0.7884265,0.71190715,0.7659472,1.1960348,3.4931388,-0.18446422,-0.21876395
CERS4,0.39535618,1.5556498,-1.0180655,1.774682,0.23862839,0.77902746,-1.6576438,1.1516504,1.1335235
BCAS3,0.006065846,0.2421484,-0.02055645,0.10915947,0.22193241,0.72490215,-0.16617632,0.35318375,0.41698313
UNC45B,-0.7536921,-0.37802947,-1.3696783,-0.020019293,0.34649146,1.4879546,2.8075602,-0.6436752,0.87706137
SLC36A2,-0.37831736,-0.17780149,-0.85536885,0.5172385,0.56234205,1.1235267,3.419125,-0.3652498,-0.2857151
VPS13D,-0.28891468,-0.1831212,-0.65272,-0.31907988,0.20783758,-1.187077,-0.53674936,-0.20221138,-0.6689334
VPS13A,-0.1762023,0.002993584,0.034533024,0.52772427,1.1259584,-0.37085676,-1.0879855,0.64504766,0.3862791
HTR3D,-0.33126104,-0.35420513,0.89034104,0.28709304,0.38533163,0.86563253,3.1502545,-0.54624915,1.5253899
VPS13B,-0.15917873,0.31189585,-0.5405574,0.61651754,0.9815316,-1.4730291,0.2805972,0.35275602,-1.2762094
HTR3A,1.2399979,1.0626321,0.73769,-0.7578199,-1.4132941,0.03793311,1.3897328,-0.6892297,-0.30688024
CES4A,-0.44955444,-0.3177781,-0.7339792,0.85513115,-0.6136918,0.78624725,0.5084777,0.002432346,-0.034214973
MSL1,-0.52836514,-0.18826771,0.03892517,-0.4900427,-0.87021446,-0.68075657,-1.0962782,-0.31846237,-0.0509367
C1D,-0.02842331,0.338809,0.48016262,0.59010315,0.27802658,0.2827053,1.1053028,0.62316704,0.6297779
