"X","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RPL3",-2.2237415,-2.1812334,-9.14905804489981,2.56125072522803E-06,3.98259058551722E-05,5.03557956159578
"NRP1",-2.70731744,-3.04249872222222,-9.14087972063157,2.58286766765117E-06,4.0065492931137E-05,5.02675618959615
"RAB40B",-2.10626042,-2.33744725555556,-9.10764719501844,2.67276602817179E-06,4.12616248320397E-05,4.99083464681888
"HS3ST2",-3.03674254,-2.24608548888889,-9.09937761594071,2.69565992998386E-06,4.14168893528235E-05,4.98187896848017
"OTULINL",-2.12985056,-2.33597276666667,-9.09467743319824,2.70876687942346E-06,4.15194125247496E-05,4.97678580786395
"PDK3",-3.3781585,-2.725250366,-9.05715033120161,2.81592842833661E-06,4.28565711039061E-05,4.93604243130863
"RHOBTB1",-3.40867872,-3.66754742222222,-9.02326071161042,2.9166612579508E-06,4.39748016298049E-05,4.89912772748137
"FABP3",-4.69852682,-4.70875964444444,-8.98754222588735,3.0270760973653E-06,4.53218609194856E-05,4.86009646382913
"CD22",-3.32733354,-3.1206373,-8.94905445721352,3.15114699941763E-06,4.6531696995977E-05,4.81789543334651
"CDC25C",-3.1999885,-2.37631365222222,-8.94417884999482,3.16725368606047E-06,4.66627580733978E-05,4.81253876148082
"CR1",-3.49151676,-3.36819896666667,-8.88933153269731,3.35472349007842E-06,4.87568258591802E-05,4.75211373559354
"MORC4",-2.06309842,-1.88670428888889,-8.8511560858551,3.49229533389005E-06,5.00795150879833E-05,4.70987522040005
"EGFL7",-2.26852692,-2.02458836888889,-8.80177525236255,3.67939361625749E-06,5.22976365764528E-05,4.65501717655431
"SNX29P2",-1.72870102,-1.6568363,-8.76934051316699,3.80818186578405E-06,5.38907841664572E-05,4.6188481512645
"FES",-1.6872366,-1.93247688888889,-8.76489258029931,3.82622088279633E-06,5.40275784610169E-05,4.61387963444412
"PCCA",-2.6419944,-2.54870474444444,-8.71500889141876,4.03499620668763E-06,5.67272996116672E-05,4.55801689211637
"EGR1",-3.24720866,-3.3022461,-8.70977838418729,4.05759219397378E-06,5.69209617993757E-05,4.55214445286988
"DTL",-3.01901462,-2.27068807555556,-8.67320180097004,4.21948903083183E-06,5.84299629097807E-05,4.51099896960204
"DHODH",-1.9610238,-2.11158735555556,-8.65661553389677,4.29519897952765E-06,5.93510043145438E-05,4.49229465777118
"FSCN3",-1.78090774,-1.95167904444444,-8.64032936374153,4.37097334032793E-06,5.9874530502901E-05,4.47390062826448
"FUCA1",-2.09997178,-2.25288094444444,-8.63852035239732,4.37947906359357E-06,5.9874530502901E-05,4.47185576018762
"MXD4",-2.33336738,-2.31306968888889,-8.61106689090836,4.51078689362455E-06,6.11514870263849E-05,4.44078057830611
"WDR77",-1.95307506,-2.09655763333333,-8.59708532981556,4.57929376451406E-06,6.19500684746524E-05,4.42492392576072
"KIF11",-1.71920412,-1.74566464444444,-8.58220002509593,4.65346970363839E-06,6.26119225009801E-05,4.40801956414481
"RAB42",-2.5560128,-2.81899547777778,-8.5814332606525,4.65732570904547E-06,6.26119225009801E-05,4.40714815843804
"ETV5",-3.1497306,-2.89659323333333,-8.57563576529963,4.68659318979211E-06,6.28120077464222E-05,4.40055745137514
"P2RY1",-3.24750464,-2.58683422444444,-8.52337015778042,4.95962391361785E-06,6.5782762826054E-05,4.34097933462747
"MEX3B",-2.37243604,-2.31204596666667,-8.49619728307444,5.10833991015765E-06,6.71366953976524E-05,4.30988935150183
"MPP1",-2.17874376,-2.22373136666667,-8.4810032553559,5.19359614309543E-06,6.80262797532664E-05,4.2924704884506
"FRMD4B",-2.08711014,-2.16106758888889,-8.4803826989759,5.19711078852632E-06,6.80262797532664E-05,4.29175853751531
"FCGR2A",-3.59350942,-3.63803143333333,-8.47498752449997,5.22777622297779E-06,6.82891497305175E-05,4.2855670240125
"MSR1",-2.91762646,-2.87299902222222,-8.43319346247243,5.47207404380255E-06,7.06225876093157E-05,4.23749773057506
"BUB1",-1.65270866,-1.50814200333333,-8.38183270263303,5.78935968007778E-06,7.354082286524E-05,4.17816624216025
"P2RX1",-1.56058914,-1.52385845555556,-8.35891725496472,5.93730038927316E-06,7.49772982621911E-05,4.15160188332499
"CCDC9B",-1.834219748,-1.93503778222222,-8.27546306949564,6.51166903109469E-06,8.11010141212306E-05,4.05437249493643
"LINC02812",-3.08802818,-2.71525633333333,-8.24939217762817,6.70321900253076E-06,8.27072126641128E-05,4.02384087363303
"FOS",-2.74446194,-3.00925685555556,-8.18581328459934,7.1964093148944E-06,8.74546691318523E-05,3.94906709869706
"RCBTB2",-1.61928332,-1.75828065555556,-8.14080857407297,7.56920194492242E-06,9.16398877121658E-05,3.89586505977772
"GAS7",-2.5220145,-2.78844527777778,-8.12651025073348,7.6919745095421E-06,9.27781523552807E-05,3.87891477147564
"TLE3",-1.7803942,-1.7156022,-8.09940187240793,7.93069691750195E-06,9.53012797181379E-05,3.84671523394917
"OSBPL8",-1.51155738,-1.4394785,-8.08327448116032,8.07651248321694E-06,9.6693386000369E-05,3.82751959952968
"LGI2",-2.90621046,-2.10466754444444,-8.08115421316164,8.09589758427872E-06,9.67459761321306E-05,3.82499375938521
"SMC1A",-2.1604921,-2.17669267777778,-8.04689732628787,8.41617745993744E-06,9.94681193204695E-05,3.78411339362818
"CKAP2L",-2.99732276,-2.25071081555556,-7.9839049363441,9.04146855322205E-06,0.000105125399232328,3.70859254848639
"SPP1",-3.53764362,-3.91795296666667,-7.97470788455517,9.1368909021702E-06,0.000106043807539036,3.69752830953581
"SLC38A6",-1.86815998,-1.79681362222222,-7.86762152457959,1.03317902899095E-05,0.000117585613299446,3.56798312476475
"TXNDC16",-2.32245164,-2.48538086666667,-7.86170747826582,1.04025311743295E-05,0.000117974575866342,3.56079000868912
"RBM3",-1.68147716,-1.49459616333333,-7.85762900327543,1.04516208636037E-05,0.000118130086889962,3.55582708104563
"TNFRSF21",-2.80704448,-2.89989612222222,-7.85752665477384,1.04528559761612E-05,0.000118130086889962,3.55570251244797
"BRCA1",-1.56544858,-1.64402717777778,-7.79903564524034,1.11852089276242E-05,0.000124445091741308,3.48431272498565
"PTK2",-1.82267448,-1.49158716,-7.79564736266024,1.12292996532228E-05,0.000124720603549478,3.48016495667272
"SHMT1",-2.16102218,-2.41223212222222,-7.78108198800995,1.14209855656257E-05,0.000125982256162364,3.4623193767778
"CD244",-2.71422814,-2.96033012222222,-7.7590184739319,1.17181181616245E-05,0.000128396002483835,3.43523946373427
"CLEC4A",-3.57717754,-3.79817693333333,-7.74368143648232,1.19295818472539E-05,0.000130256500271285,3.41638153424863
"POLR1G",-1.79323092,-1.60550816666667,-7.73007522530149,1.21206357201891E-05,0.000131674178960236,3.39962849437071
"METTL7A",-2.37700694,-2.43564352222222,-7.66256052173695,1.31188479942867E-05,0.000141143278904637,3.31617403638613
"RASA4",-1.92076198,-2.08735223333333,-7.65484695219962,1.32384299401964E-05,0.000141906293030046,3.3066047837909
"MAP3K12",-1.5596979,-1.65878401111111,-7.60754799633019,1.39979363041496E-05,0.000148079808148651,3.24777118017843
"SAPCD2",-2.5962445,-2.62817621777778,-7.58597513609076,1.43598594810931E-05,0.000150918848911228,3.22084820179841
"ALG3",-1.6268448,-1.7601346,-7.58209602351538,1.44260041343949E-05,0.000151367487283334,3.21600111483717
"CD300C",-1.97059038,-2.08902405555556,-7.55998482404222,1.48093719642549E-05,0.000154635723762681,3.18833772325141
"MARCO",-4.43748932,-4.56101175555556,-7.51525886235997,1.56189025520869E-05,0.000161262045069786,3.13220005418875
"FCGR2B",-4.48783704,-5.04958113333333,-7.47425407532809,1.64031759811071E-05,0.000166692432450526,3.08051938820018
"ARHGDIB",-3.10417594,-3.24332767777778,-7.46417587274748,1.6602377183386E-05,0.00016845147793143,3.06778585286915
"IMPDH2",-1.91457492,-2.03658178888889,-7.45393615295446,1.68074484400201E-05,0.000170264465908084,3.05483552364355
"PGBD5",-2.6087212,-1.68211158888889,-7.35921560669262,1.88394395263521E-05,0.000187787634296373,2.93443036690748
"DOK3",-2.13983174,-2.03187811777778,-7.35270660781928,1.89884969848703E-05,0.000188511955451335,2.92611572882858
"DPEP2",-1.56576616,-1.61902312222222,-7.29299288764338,2.04168919957091E-05,0.000199256894749813,2.84959157493498
"SLC39A3",-1.68898038,-1.67428239333333,-7.29200987766279,2.04413550789364E-05,0.000199256894749813,2.84832811781909
"SPINK6",-2.59268112,-1.74105292666667,-7.19292975438097,2.30770379052163E-05,0.000222262874033374,2.72036029285874
"FOLR2",-1.74189958,-1.70953856666667,-7.13875096433008,2.46714478440169E-05,0.000235510137481421,2.6498623327618
"EIF3LP2",-1.53374042,-1.69943226666667,-7.11830729249678,2.53036073434564E-05,0.000240832121220242,2.62316415137892
"SELL",-2.29156484,-2.23436672222222,-7.09692806166543,2.59834216082196E-05,0.000246575028879178,2.59518732411938
"PPIA",-1.74703332,-1.91123681111111,-7.09200743457213,2.61426582072603E-05,0.00024735861204025,2.58873995548145
"RASA3",-1.70522576,-1.62752872555556,-7.05106452442797,2.75091362471219E-05,0.000258600441847165,2.5349736245258
"RASGRP4",-1.65082062,-1.83385231111111,-7.05042304555112,2.75311488530919E-05,0.000258600441847165,2.53412952663142
"DEF8",-1.7176245,-1.46563385555556,-7.03986993785631,2.78960212348581E-05,0.000261267090026908,2.52023551921194
"NLN",-1.54880726,-1.97899475555556,-7.03504460864047,2.80645896243253E-05,0.000262464922964885,2.51387783075108
"CCN3",-3.75152976,-3.03068152222222,-7.0061943730365,2.90956257891889E-05,0.000270539010400052,2.47580335769478
"SCARNA15",-1.6545887,-1.52650775,-6.98771177401969,2.97775510040212E-05,0.000275293032419697,2.4513550651232
"DACT1",-3.0494779,-2.81310405111111,-6.97573158738198,3.02287525711205E-05,0.000278268388504195,2.43548446345398
"ALK",-2.44683,-1.62856660777778,-6.9333850816264,3.18836019860009E-05,0.00029060011810122,2.37923777369791
"CD101",-2.93202778,-2.7912878,-6.87483907160251,3.43342026778733E-05,0.000308577451086791,2.30109086579992
"NUDT3",-1.82807942,-2.16989724444444,-6.85408982350333,3.52507809072201E-05,0.000315496933695273,2.27328768712668
"AQP5-AS1",-2.51302624,-1.72611932666667,-6.78560621262554,3.8467823889836E-05,0.000338653298173413,2.18112225358204
"WASF1",-1.61051004,-1.29002728222222,-6.77029460936777,3.92294800841967E-05,0.000343018746589867,2.16043156926921
"ASGR2",-3.4561614,-3.26502961111111,-6.74795176537379,4.03701655980302E-05,0.000351563668831429,2.13018406010292
"BRWD3",-1.54786548,-1.3664973,-6.74639617929577,4.04509025281891E-05,0.000351792013496502,2.12807567030475
"CHN2",-2.20144654,-2.16060818888889,-6.73932545991512,4.08200783038136E-05,0.000354524852347926,2.11848822216344
"FAM86C2P",-1.59890226,-1.14411931111111,-6.68922298932698,4.35422148227604E-05,0.000374637216335031,2.05036285282335
"CKAP2-DT",-1.6567934,-1.6574707,-6.67740518713828,4.42123588661756E-05,0.000379391425217329,2.03424540625882
"EXO1",-2.05276894,-1.73404781444444,-6.6325980758101,4.68557876029243E-05,0.000397319838898384,1.97296738964689
