"","Subject 1","Subject 2","Subject 3","Subject 4","Subject 5","Subject 6","Subject 7","Subject 8","Subject 9","Subject 10","Subject 11","Subject 12","Subject 13","Subject 14","Subject 15"
"AC024614.1",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"AC024614.2",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"AC024614.4",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"AC024610.2",-0.588162667547801,-0.870862096694557,-0.409367413722612,-0.612282575451117,-0.945156278303407,-1,-0.298557082327321,-0.123320658521594,-1,-1,-1,-1,-0.768947900595294,-0.525526320001457,-0.922502428733577
"AC024610.1",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"AC004147.3",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"AC004147.2",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"LINC01989",-1,-1,-1,-1,-1,-0.818647476051295,-1,-1,-1,-1,-1,-1,-1,-1,-1
"AC005549.1",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"CCL2",1.67721297697327,3.66370880822246,6.47627974443499,3.08150658754759,1.93086306379056,5.50586036365721,6.14341818448219,7.081433006369,6.01605565697451,3.3783297393712,1.06902531573355,-0.886459681591492,5.18387282616004,3.69069459745461,5.31242456922054
