"","Subject 1","Subject 2","Subject 3","Subject 4","Subject 5","Subject 6","Subject 7","Subject 8","Subject 9","Subject 10","Subject 11","Subject 12","Subject 13","Subject 14","Subject 15"
"IL17B",6,5,9,5,12,14,5,11,0,2,9,5,6,1,12
"AC131025.1",3,2,5,4,2,4,8,3,0,4,5,0,22,3,4
"CARMN",18,5,7,9,15,22,7,27,1,3,13,11,2,6,8
"AC131025.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"CSNK1A1",16000,19260,19486,12579,19586,15712,18474,21731,2867,11032,13168,12920,8155,14763,20367
"ARHGEF37",148,80,72,79,129,78,128,108,49,31,51,27,44,20,55
"PPARGC1B",1283,1969,1957,1095,1820,2157,2023,2612,196,935,1305,1546,1161,2171,1461
"PDE6A",48,73,57,42,55,68,70,67,4,18,16,29,26,33,17
"SLC26A2",2071,2162,2024,1160,2214,1749,2034,2176,265,1793,1998,1879,1013,2217,2454
"TIGD6",434,461,427,276,472,435,432,453,53,321,429,468,180,439,569
"HMGXB3",2842,2912,3184,2106,3048,2601,2638,3815,619,1723,2216,2488,1254,2771,3532
"CSF1R",6911,10218,8413,6466,6055,5073,7927,4031,1070,6010,5907,5771,8554,3914,9694
"PDGFRB",15,18,24,7,18,23,18,6,5,10,14,5,20,17,27
"CDX1",0,0,0,0,0,1,0,0,0,0,0,0,8,0,0
"SLC6A7",12,2,7,5,13,11,4,7,0,0,5,3,6,2,15
"CAMK2A",0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
"ARSI",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"TCOF1",2993,4500,4374,2350,3175,5171,3456,3987,490,2108,4378,4135,5874,4918,5538
"CD74",863275,767107,867264,636650,739084,936236,789387,1072526,360652,451791,650077,581279,234796,505558,1069802
"RPS14",352796,298682,276918,265748,396330,279317,209772,360132,99836,168471,101608,142809,176178,110563,333815
"NDST1-AS1",6,6,5,4,2,3,3,3,7,0,4,1,2,2,7
"NDST1",1513,1616,1568,720,1812,1961,1704,2154,299,1116,1162,1137,779,1557,1729
"SYNPO",33,434,208,51,60,84,176,91,88,895,98,25,10,43,327
"AC011383.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MYOZ3",0,1,0,0,0,4,0,3,1,0,0,2,3,1,1
"AC008453.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RBM22",3398,4168,4394,2814,3877,4067,3597,5219,568,2125,3209,3647,1323,3459,5181
"DCTN4",3342,3017,3231,2138,3538,2936,2851,3793,457,1949,3653,4043,1732,4087,4682
"SMIM3",640,329,345,314,481,743,224,736,101,110,163,182,614,248,586
"IRGM",0,0,1,1,3,7,0,3,0,0,2,1,9,4,0
"ZNF300",155,136,87,59,91,75,85,116,6,89,163,89,44,126,132
"GPX3",5314,1219,1797,4659,2449,13020,1634,5692,612,525,1680,1442,1217,1311,2915
"TNIP1",2518,2439,1772,1580,2203,2039,2060,2124,475,1181,1722,1825,2094,2129,2696
"ANXA6",1657,450,552,397,834,1935,587,1011,26,380,722,490,3532,958,698
"AC008641.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CCDC69",3985,1337,679,1514,1316,1808,1565,1556,226,1106,1384,1498,1690,1904,1509
"GM2A",23596,15082,17285,16130,27433,25462,16345,30633,2079,9015,17619,16777,12226,17847,28842
"SLC36A3",0,0,0,0,0,1,0,1,1,0,3,0,1,1,0
"SLC36A2",1,1,0,2,1,1,2,1,0,0,0,0,0,1,2
"SLC36A1",404,377,269,119,269,296,384,336,58,353,231,205,749,306,326
"FAT2",0,4,1,0,0,0,0,0,0,0,29,7,1,1,1
"AC011337.1",34,26,19,11,28,22,23,22,3,14,26,28,108,49,21
"AC011374.1",0,0,1,0,2,1,0,0,0,0,1,1,1,0,1
"SPARC",19119,7247,6049,12372,23741,16456,5520,17471,524,1862,14203,12425,2442,10366,21625
"CLMAT3",0,0,3,3,2,2,0,2,0,0,1,4,0,4,1
"AC011374.2",188,156,151,156,216,158,214,196,15,124,123,103,137,88,192
"ATOX1",43270,27415,31804,23410,34453,33102,22118,53291,8411,17829,10201,10705,21567,10965,40483
"AC091982.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091982.3",34,22,15,32,14,23,17,26,5,14,25,37,17,26,46
"G3BP1",9210,8238,8201,5523,10340,8300,8340,10922,1239,6401,9587,8889,4866,11963,11988
"GLRA1",1,0,1,0,1,1,1,0,0,0,0,1,0,0,0
"LINC01933",1,1,0,0,6,2,2,1,0,0,0,0,1,3,3
"NMUR2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"LINC01470",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"GRIA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC091962.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM114A2",1902,1986,2113,1501,2024,1795,1934,2045,272,1359,1744,1739,836,1863,2825
"MFAP3",229,261,249,213,237,200,284,289,20,168,352,380,122,415,386
"GALNT10",1598,2901,1852,1303,2165,1941,2370,1736,274,1680,1672,1712,1258,1588,2306
"SAP30L-AS1",16,12,18,16,13,6,13,15,2,13,14,8,10,14,17
"SAP30L",1959,2187,2232,1716,2307,1918,2040,2247,106,1577,1608,1806,1027,1922,2693
"HAND1",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"AC026688.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LARP1",10633,11237,10379,7396,13051,13037,12115,13442,1400,6871,9462,10356,4993,10627,12768
"FAXDC2",749,919,958,890,939,488,1110,729,68,382,1156,1125,177,624,1064
"CNOT8",2803,2715,2610,2134,2908,2483,2784,2785,420,1695,2212,2071,1640,2268,3025
"GEMIN5",2033,1539,1425,1106,1570,1716,1483,1700,132,919,1321,1633,479,1359,1924
"MRPL22",6219,6529,6618,4359,6938,6137,5169,8339,1366,4170,2159,2460,2400,2462,6456
"KIF4B",3,3,0,0,1,1,1,1,0,4,1,0,0,2,1
"SGCD",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AC025434.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PPP1R2B",20,16,15,11,17,15,16,20,0,1,4,5,0,5,5
"TIMD4",117,114,252,59,36,56,179,700,49,667,13,9,15,53,61
"HAVCR1",1,1,3,0,1,4,0,1,0,2,1,0,2,5,2
"HAVCR2",8774,9176,7289,5901,8048,8810,8138,8805,1434,5121,5394,5227,3659,7086,10863
"AC011377.1",2,1,2,3,1,0,0,2,0,0,0,0,0,0,1
"MED7",3289,3513,3417,2467,3669,2995,3013,4265,553,2201,1500,1614,857,1625,3742
"ITK",207,175,139,190,70,339,179,271,11,89,310,43,329,1152,189
"FAM71B",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"AC010609.1",1,0,0,1,0,0,1,2,0,0,0,0,1,1,0
"AC009185.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CYFIP2",1488,1856,1362,970,1043,1191,2166,1775,125,1165,1450,1024,817,2165,1105
"FNDC9",1,1,0,1,3,0,1,2,0,0,9,3,15,29,2
