"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LGR6",121.345797644869,3.82875575118715,0.856625170650571,4.46958119182906,7.83729050817067e-06,0.000358422683711366
"FRMD4A",960.108993706665,-2.25478084579997,0.505164736641155,-4.4634565365588,8.06479634932805e-06,0.000366008612762151
"SAMD3",376.475887130858,2.85719062210929,0.640134242720876,4.46342412485992,8.06601693837597e-06,0.000366008612762151
"STAT4",2035.76430779246,2.15969807049214,0.483824269590395,4.4638068121728,8.05161661365049e-06,0.000366008612762151
"MYOF",3125.53278718633,-2.13264450257488,0.478565250941766,-4.45632961937387,8.33748067765358e-06,0.000375401514017031
"PLA2G7",1663.19521094216,-2.28768885028758,0.513318484089579,-4.45666563974414,8.3244285620235e-06,0.000375401514017031
"TNFRSF13C",410.863956577081,3.17628857458813,0.712680615893067,4.45681909084604,8.3184745239845e-06,0.000375401514017031
"APBA2",523.33142779604,2.46166632655489,0.552781497943385,4.45323574633645,8.45857939537064e-06,0.000377157103523047
"ARNT2",160.808043574266,-3.16466351498962,0.710581273369146,-4.45362639516899,8.44319661193914e-06,0.000377157103523047
"MAILR",1202.58963756082,2.28595663472628,0.513310047409862,4.45336428979153,8.45351471802526e-06,0.000377157103523047
"TIGIT",371.647816349596,3.05480668473627,0.685991214166139,4.45312800171874,8.46282682203975e-06,0.000377157103523047
"FNBP1L",305.617734770958,-2.64099670876988,0.594164237968868,-4.44489341498916,8.79354524901989e-06,0.000390898818067118
"LUM",62.3714506712015,-4.37194923505136,0.983788271319854,-4.44399406102488,8.83040429893083e-06,0.000391541023102339
"CRABP2",191.06355716273,-2.86441816697805,0.64508416790616,-4.44037896058663,8.98006018215375e-06,0.000397168737676522
"WDR64",25.2095958963593,-8.91565128095804,2.00918762313071,-4.4374408732748,9.10347165782713e-06,0.000401610226924849
"PDE4D",2488.92201094819,2.09479009337071,0.472134123926334,4.43685382439663,9.12832355218027e-06,0.000401692222812568
"MTSS2",548.316366502253,-2.40809189525999,0.543254347157429,-4.43271537146512,9.30536738438807e-06,0.000408034337239131
"PRKCQ",394.560057128545,2.63775144204628,0.595107329007717,4.43239616363736,9.31915858949131e-06,0.000408034337239131
"PTH1R",84.224950042529,-3.74812437565869,0.845740276151998,-4.43176762576821,9.34637133781785e-06,0.000408202768179195
"PGGHG",1591.46058388175,2.14341701213023,0.484069451897896,4.42791215955998,9.51496339571586e-06,0.000413498533639692
"RIPOR2",1860.46703333395,2.14994684870219,0.485495695656274,4.4283540882808,9.49549229795182e-06,0.000413498533639692
"PHLDA2",992.25575309302,-2.23041620772828,0.503785742932503,-4.42731109210273,9.54150727064803e-06,0.000413623156372757
"LIME1",377.644666551697,2.59406281851393,0.58621003065039,4.42514232592687,9.6378719591236e-06,0.000416766393875963
"CLEC3B",189.026770625175,-2.97705308821985,0.673324020746119,-4.42142712348349,9.80511350916659e-06,0.000422951439518865
"EGFR-AS1",131.99768764524,-3.51838522210044,0.796010006853179,-4.42002637128831,9.86888572508729e-06,0.000424653777382451
"SMARCA1",184.48330537841,-3.15793553278241,0.714771120071924,-4.41810734108094,9.95689710002293e-06,0.000427388187561181
"ACE",647.342519327247,-2.38951329633108,0.541141964882552,-4.41568655066271,1.00689900587276e-05,0.000431140334132282
"DENND2B",171.20660545684,-2.93373426830613,0.664683121098795,-4.41373366523336,1.01602943201165e-05,0.000432927662859599
"RASAL2",586.42375649129,-2.41892809101377,0.547994921682034,-4.41414326174598,1.01410789548097e-05,0.000432927662859599
