"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NUMA1",9402.2576885099,0.325636093173399,0.043535375624477,7.47980437753054,7.44333250405445e-14,1.84400351731891e-13
"NUMB",2067.75540280633,0.0721986017885143,0.0213050931114921,3.38879541200268,0.000702003663352861,0.00111354002292638
"NUMBL",368.288778714303,0.451264851652463,0.0678609811240996,6.64984272519167,2.93406371560141e-11,6.62602311899366e-11
"NUP153",3020.52657170542,0.310615130662912,0.042193229361487,7.36172924811568,1.81542907454362e-13,4.43680041484381e-13
"NUP160",2286.21210345068,0.1721111213275,0.0433226482443281,3.97277471028177,7.10402331158966e-05,0.000119898277971078
"NUP210L",2.69814190344093,2.41259989428939,0.337630493994672,7.14568126162045,8.9550635202114e-13,2.13776395028807e-12
"NUP214",1945.54856700824,0.105788408787233,0.0339836775665108,3.11291821140281,0.00185247346931145,0.00283682333107552
"NUP50",2221.48974977858,0.268431471786563,0.0468306940148959,5.7319558770831,9.92791015692104e-09,2.01859179736247e-08
"NUP50-AS1",148.485803851479,1.38533762916243,0.123348110232973,11.2311216324748,2.86814255499442e-29,1.12625118794349e-28
"NUTF2",3316.58130038348,0.386700501825361,0.0330856131521581,11.6878747281169,1.47019612435161e-31,6.13286458509949e-31
"NUTM2F",2.21926789781384,1.17426525159948,0.453216743495846,2.59095734756376,0.0095709352955891,0.0137624392753733
"NUTM2G",13.5933271882243,1.47720000766178,0.158032066863531,9.34747002288732,8.97692518005968e-21,2.78197382720217e-20
"NVL",835.301571617234,0.213462771685662,0.0356793691665555,5.98280677803445,2.19324892928064e-09,4.58297472053046e-09
"NWD1",9.98270741608794,0.533255222152619,0.147330418411195,3.61945094504734,0.000295228769214186,0.000479460675584279
"NXF1",4232.87573164583,0.871515695216941,0.0557888535128507,15.6216813994249,5.18208518389738e-55,3.73407195448605e-54
"NXF3",2.27146533282412,0.718985499721757,0.273789399327045,2.62605309587944,0.00863813417248983,0.0124806145457698
"NXN",469.954337982089,0.858014795777231,0.117495718036737,7.30251970126227,2.82427938064243e-13,6.86381796631747e-13
"NXNL2",10.1573962775411,1.86492608349966,0.167624607031398,11.1256104728725,9.41590766579412e-29,3.64801929531263e-28
"NXPE1",0.461249683406091,2.58738795671534,0.647529483125968,3.99578401314584,6.44805020248809e-05,0.000108981537223796
"NXPE2",0.797056627498961,1.73629721915661,0.389289656512832,4.4601678727094,8.18954800527038e-06,1.45684969861819e-05
"NXPE3",193.767341578614,0.919695821257978,0.078743645619273,11.6796195302504,1.6201909560883e-31,6.75233755248735e-31
"NXPH1",1.82722157221005,2.75016457713179,0.351107537781029,7.83282692964271,4.7702075142402e-15,1.23166398741525e-14
"NXPH3",77.2918660767728,1.28032370197548,0.171159352502775,7.48030232209911,7.41518285344709e-14,1.83743212399621e-13
"NYAP1",23.4517128279874,0.452076263044891,0.122673232265556,3.68520707163127,0.000228516772763313,0.000373774343999329
"NYNRIN",1303.0593686057,0.669642859546118,0.0843953245148906,7.93459665443868,2.11180504683031e-15,5.51497010498414e-15
"OAS2",432.006964946967,1.99870041746606,0.101894784358925,19.6153358588564,1.14378974095237e-85,1.56276489606209e-84
"OASL",26.243355463524,0.826762587703353,0.12423257777402,6.65495800310316,2.83380958622071e-11,6.40345308077797e-11
"OAZ1",14271.0030133384,0.62547470353543,0.0431879590187039,14.4826177885495,1.56039301720611e-47,9.51116713558877e-47
"OAZ2",2188.94493741041,0.512265393861408,0.0372945021924086,13.7356812330822,6.20694877211723e-43,3.41699325834366e-42
"OBP2B",0.465722832612955,2.00780552286571,0.749285104604939,2.67962823566915,0.00737039663034772,0.0107153244334799
"OBSCN",423.795528904281,1.93907513621531,0.163809727023309,11.8373626002038,2.50197541839472e-32,1.06569457486067e-31
"OCEL1",504.4577874882,0.226121185942355,0.0645192467902852,3.50470901616915,0.000457106594233415,0.000734030787872622
"OCIAD2",105.594739024765,0.529498647847295,0.0853973439897708,6.20041119675478,5.6315829005699e-10,1.21064318012631e-09
"OCLM",3.29415839833976,1.21498700866284,0.211904520607076,5.73365308669242,9.82902687429674e-09,1.99902527692439e-08
"OCRL",1476.89440966438,0.387391665175498,0.0419872090730368,9.22642094409347,2.79825754686188e-20,8.52705390643731e-20
"ODF3",0.347545252271338,2.1255876337053,0.720775628490128,2.94902817144075,0.00318774916555777,0.00479720735749319
"ODF3B",196.627667163151,1.67002530317084,0.158275464316934,10.5513846405577,5.00539423168055e-26,1.79936526669851e-25
"ODF3L2",5.11588863218245,3.29308937260919,0.200501656560875,16.4242501986978,1.28259415239511e-60,1.04803088812177e-59
"OFD1",505.778597417372,0.118416566142945,0.0548347570615309,2.15951656373836,0.0308101137086657,0.0421621889907021
"OGDH",5997.95350793741,0.605499835895816,0.0586125721641897,10.3305453683153,5.12682612426765e-25,1.79621504936017e-24
"OGFOD3",1323.36623878059,0.22904775996581,0.0485490821984842,4.71785973274199,2.38338721842356e-06,4.35312554117302e-06
"OGFR",1677.9844381901,0.774844822264612,0.0533972250294764,14.5109567367383,1.03270064112643e-47,6.33737041120873e-47
"OGT",2563.79725543236,0.704849289970726,0.0665419234674477,10.59255959614,3.22646699495288e-26,1.16560821056688e-25
"OLAH",881.278772572302,2.73241805511887,0.263087129956202,10.3859814639118,2.87199991494272e-25,1.01186343935681e-24
