NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
REACTOME_RELAXIN_RECEPTORS	REACTOME_RELAXIN_RECEPTORS		8	0.9546422	1.2382555	0.11731844	0.9794073	1.0	233	tags=13%, list=1%, signal=13%	
REACTOME_VITAMIN_C_ASCORBATE_METABOLISM	REACTOME_VITAMIN_C_ASCORBATE_METABOLISM		8	0.64207196	1.2375596	0.25714287	0.97495544	1.0	4006	tags=50%, list=25%, signal=66%	
REACTOME_THE_PHOTOTRANSDUCTION_CASCADE	REACTOME_THE_PHOTOTRANSDUCTION_CASCADE		33	0.51631254	1.2370604	0.21317829	0.9689698	1.0	2920	tags=30%, list=18%, signal=37%	
REACTOME_BASE_EXCISION_REPAIR	REACTOME_BASE_EXCISION_REPAIR		44	0.45406553	1.2365124	0.12795275	0.9630646	1.0	3752	tags=36%, list=23%, signal=47%	
REACTOME_SHC_MEDIATED_CASCADE_FGFR1	REACTOME_SHC_MEDIATED_CASCADE_FGFR1		21	0.52056	1.2363873	0.29563493	0.9549092	1.0	3073	tags=33%, list=19%, signal=41%	
REACTOME_NEF_AND_SIGNAL_TRANSDUCTION	REACTOME_NEF_AND_SIGNAL_TRANSDUCTION		8	0.68965614	1.2346075	0.33267716	0.956928	1.0	2773	tags=63%, list=17%, signal=75%	
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS	REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS		14	0.5243139	1.2340201	0.10569106	0.9514471	1.0	1371	tags=29%, list=8%, signal=31%	
REACTOME_FRS_MEDIATED_FGFR4_SIGNALING	REACTOME_FRS_MEDIATED_FGFR4_SIGNALING		22	0.48863894	1.2319148	0.17519686	0.9533894	1.0	3073	tags=41%, list=19%, signal=50%	
REACTOME_DEFECTIVE_FACTOR_IX_CAUSES_HEMOPHILIA_B	REACTOME_DEFECTIVE_FACTOR_IX_CAUSES_HEMOPHILIA_B		9	0.5496553	1.231206	0.27128714	0.949171	1.0	3470	tags=56%, list=21%, signal=71%	
REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING	REACTOME_TRANSFERRIN_ENDOCYTOSIS_AND_RECYCLING		31	0.4151713	1.2305543	0.1553398	0.9445317	1.0	3726	tags=48%, list=23%, signal=63%	
REACTOME_METABOLISM_OF_STEROID_HORMONES	REACTOME_METABOLISM_OF_STEROID_HORMONES		29	0.4353332	1.2301707	0.18250951	0.9377347	1.0	2956	tags=31%, list=18%, signal=38%	
REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD2_FZD5_AND_ROR2	REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD2_FZD5_AND_ROR2		13	0.4865622	1.230081	0.14481409	0.93041974	1.0	469	tags=15%, list=3%, signal=16%	
REACTOME_NEGATIVE_REGULATION_OF_NMDA_RECEPTOR_MEDIATED_NEURONAL_TRANSMISSION	REACTOME_NEGATIVE_REGULATION_OF_NMDA_RECEPTOR_MEDIATED_NEURONAL_TRANSMISSION		21	0.47754803	1.2285239	0.14051095	0.9293505	1.0	4265	tags=52%, list=26%, signal=71%	
REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION	REACTOME_AFLATOXIN_ACTIVATION_AND_DETOXIFICATION		16	0.58694553	1.2275329	0.20980392	0.9278035	1.0	1355	tags=38%, list=8%, signal=41%	
REACTOME_UBIQUINOL_BIOSYNTHESIS	REACTOME_UBIQUINOL_BIOSYNTHESIS		8	0.5721651	1.2245979	0.2746615	0.9348379	1.0	2608	tags=38%, list=16%, signal=45%	
REACTOME_PI_3K_CASCADE_FGFR4	REACTOME_PI_3K_CASCADE_FGFR4		20	0.5569301	1.2197865	0.16302186	0.95029235	1.0	3142	tags=45%, list=19%, signal=56%	
REACTOME_CHOLINE_CATABOLISM	REACTOME_CHOLINE_CATABOLISM		6	0.7423717	1.2197318	0.3407258	0.9428556	1.0	1587	tags=50%, list=10%, signal=55%	
REACTOME_ENOS_ACTIVATION	REACTOME_ENOS_ACTIVATION		11	0.5311516	1.219541	0.11111111	0.93573534	1.0	3262	tags=36%, list=20%, signal=45%	
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS	REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS		23	0.52542514	1.2194688	0.2430279	0.9285156	1.0	2221	tags=26%, list=14%, signal=30%	
REACTOME_MISMATCH_REPAIR	REACTOME_MISMATCH_REPAIR		15	0.4914817	1.2184259	0.13849287	0.9266424	1.0	3937	tags=47%, list=24%, signal=62%	
REACTOME_DISEASES_OF_BASE_EXCISION_REPAIR	REACTOME_DISEASES_OF_BASE_EXCISION_REPAIR		5	0.6918733	1.218091	0.18548387	0.9212954	1.0	2984	tags=60%, list=18%, signal=73%	
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_SATURATED_FATTY_ACIDS	REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_SATURATED_FATTY_ACIDS		10	0.53899246	1.2171283	0.20265152	0.9200229	1.0	3335	tags=50%, list=21%, signal=63%	
REACTOME_SYNTHESIS_OF_PA	REACTOME_SYNTHESIS_OF_PA		30	0.4529796	1.2163409	0.16071428	0.9166443	1.0	1040	tags=23%, list=6%, signal=25%	
REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS	REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS		13	0.6392202	1.2144939	0.17601547	0.9188301	1.0	1789	tags=38%, list=11%, signal=43%	
REACTOME_TRANSPORT_AND_SYNTHESIS_OF_PAPS	REACTOME_TRANSPORT_AND_SYNTHESIS_OF_PAPS		6	0.6556741	1.2113638	0.25454545	0.9272932	1.0	2184	tags=50%, list=13%, signal=58%	
REACTOME_CYP2E1_REACTIONS	REACTOME_CYP2E1_REACTIONS		11	0.6676532	1.2111546	0.34169886	0.92080337	1.0	2506	tags=64%, list=15%, signal=75%	
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION	REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION		32	0.4722068	1.2107173	0.20532319	0.9174863	1.0	3335	tags=50%, list=21%, signal=63%	
REACTOME_DEFECTIVE_F9_ACTIVATION	REACTOME_DEFECTIVE_F9_ACTIVATION		6	0.6067255	1.2072139	0.30120483	0.926486	1.0	2604	tags=50%, list=16%, signal=60%	
REACTOME_ACYL_CHAIN_REMODELLING_OF_PG	REACTOME_ACYL_CHAIN_REMODELLING_OF_PG		16	0.5995934	1.2048591	0.17444219	0.93252987	1.0	1762	tags=19%, list=11%, signal=21%	
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL	REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL		14	0.49773875	1.2046788	0.18604651	0.9266468	1.0	2529	tags=43%, list=16%, signal=51%	
REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE		12	0.5461073	1.2039809	0.24206349	0.9229724	1.0	1271	tags=25%, list=8%, signal=27%	
REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS	REACTOME_PKA_MEDIATED_PHOSPHORYLATION_OF_KEY_METABOLIC_FACTORS		5	0.6779541	1.2034218	0.23379175	0.91973794	1.0	4858	tags=80%, list=30%, signal=114%	
REACTOME_FATTY_ACID_METABOLISM	REACTOME_FATTY_ACID_METABOLISM		155	0.3497584	1.2032884	0.09943715	0.91401154	1.0	3496	tags=39%, list=22%, signal=50%	
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM	REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM		43	0.38924068	1.2013826	0.083657585	0.91713387	1.0	2710	tags=40%, list=17%, signal=47%	
REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION	REACTOME_COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION		22	0.50308764	1.2008281	0.27058825	0.91281354	1.0	4095	tags=32%, list=25%, signal=42%	
REACTOME_SYNTHESIS_OF_GDP_MANNOSE	REACTOME_SYNTHESIS_OF_GDP_MANNOSE		5	0.71240723	1.1991222	0.31311154	0.91380423	1.0	2741	tags=60%, list=17%, signal=72%	
REACTOME_IRS_MEDIATED_SIGNALLING	REACTOME_IRS_MEDIATED_SIGNALLING		48	0.3961448	1.1985041	0.15473887	0.9102986	1.0	3142	tags=35%, list=19%, signal=44%	
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_C_STRAND_OF_THE_TELOMERE	REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_C_STRAND_OF_THE_TELOMERE		18	0.46865913	1.1979355	0.22515213	0.9068472	1.0	3464	tags=39%, list=21%, signal=49%	
