NAME	TITLE	SCORE	
THAP10	THAP domain containing 10	0.9189715	
PREPL	prolyl endopeptidase-like	0.91873544	
CNFN	cornifelin	0.91726416	
MORC4	MORC family CW-type zinc finger 4	0.9172029	
NR2E1	nuclear receptor subfamily 2, group E, member 1	0.91545	
IMPA2	inositol(myo)-1(or 4)-monophosphatase 2	0.9148766	
TM7SF2	transmembrane 7 superfamily member 2	0.9143291	
MFSD4	major facilitator superfamily domain containing 4	0.9095187	
PPARGC1B	peroxisome proliferative activated receptor, gamma, coactivator 1, beta	0.9092353	
ROR1	receptor tyrosine kinase-like orphan receptor 1	0.9091039	
NOV	nephroblastoma overexpressed gene	0.9084914	
SIX4	sine oculis homeobox homolog 4 (Drosophila)	0.90841	
SCAND1	SCAN domain containing 1	0.9080401	
BAI1	brain-specific angiogenesis inhibitor 1	0.9075124	
SSPO	SCO-spondin homolog (Bos taurus)	0.9062007	
SELE	selectin E (endothelial adhesion molecule 1)	0.905692	
SPP1	secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	0.90493983	
EIF4B	eukaryotic translation initiation factor 4B	0.9045832	
ACOX1	acyl-Coenzyme A oxidase 1, palmitoyl	0.90391266	
UBL3	ubiquitin-like 3	0.90315926	
STARD9	START domain containing 9	0.90087044	
PROCA1	-	0.89904815	
XRCC6BP1	XRCC6 binding protein 1	0.8985521	
MEIS1	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)	0.8983753	
FLJ22447	-	0.89779407	
CSRP2	cysteine and glycine-rich protein 2	0.8965832	
ZNF624	zinc finger protein 624	0.89633715	
SEPT1	septin 1	0.8955319	
MAGEH1	melanoma antigen family H, 1	0.8951636	
SORBS2	sorbin and SH3 domain containing 2	0.89443314	
PFKM	phosphofructokinase, muscle	0.89361	
ENAM	enamelin	0.89335567	
AKR1C4	aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4)	0.8921679	
GYS1	glycogen synthase 1 (muscle)	0.8911816	
ACOT11	acyl-CoA thioesterase 11	0.89076704	
ZBTB48	zinc finger and BTB domain containing 48	0.8906087	
SLC17A2	solute carrier family 17 (sodium phosphate), member 2	0.8902102	
