NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	26	24		
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	113	109		
REACTOME_DARPP_32_EVENTS	24	24		
REACTOME_GAB1_SIGNALOSOME	17	16		
REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING	14	13		
REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV_1_INFECTION	5	5		
REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN	34	29		
REACTOME_EXTENSION_OF_TELOMERES	51	38		
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1	17	17		
REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE	18	17		
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE	18	17		
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	14	14		
REACTOME_NEF_MEDIATED_CD8_DOWN_REGULATION	7	7		
REACTOME_EGFR_DOWNREGULATION	31	30		
REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES	16	11		
REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA	63	57		
REACTOME_SIGNALING_BY_CYTOSOLIC_FGFR1_FUSION_MUTANTS	18	15		
REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION	31	27		
REACTOME_FGFR2_MUTANT_RECEPTOR_ACTIVATION	33	33		
REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE	296	212		
REACTOME_SYNTHESIS_OF_PYROPHOSPHATES_IN_THE_CYTOSOL	10	6		
REACTOME_SYNTHESIS_OF_IP2_IP_AND_INS_IN_THE_CYTOSOL	14	13		
REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL	26	25		
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	42	33		
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION	29	29		
REACTOME_SIGNALING_BY_PDGF	58	56		
REACTOME_ACTIVATION_OF_TRKA_RECEPTORS	6	5		
REACTOME_NGF_INDEPENDANT_TRKA_ACTIVATION	5	5		
REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21	60	58		
REACTOME_SIGNALLING_TO_ERKS	34	33		
REACTOME_SIGNALLING_TO_P38_VIA_RIT_AND_RIN	5		Rejected!	
REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE	11	11		
REACTOME_CELLULAR_HEXOSE_TRANSPORT	21	19		
REACTOME_METABOLISM_OF_PORPHYRINS	27	26		
REACTOME_HEME_BIOSYNTHESIS	14	13		
REACTOME_HEME_DEGRADATION	15	15		
REACTOME_SIGNALING_BY_FGFR	87	77		
REACTOME_FGFR3_LIGAND_BINDING_AND_ACTIVATION	13	13		
REACTOME_FGFR2_LIGAND_BINDING_AND_ACTIVATION	20	18		
REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION	16	15		
REACTOME_FGFR1B_LIGAND_BINDING_AND_ACTIVATION	6	6		
REACTOME_FGFR3B_LIGAND_BINDING_AND_ACTIVATION	7	7		
REACTOME_FGFR1C_LIGAND_BINDING_AND_ACTIVATION	12	11		
REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION	13	13		
REACTOME_FGFR2B_LIGAND_BINDING_AND_ACTIVATION	10	8		
REACTOME_GAP_JUNCTION_ASSEMBLY	38	22		
REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE	21	10		
REACTOME_GAP_JUNCTION_DEGRADATION	12	12		
REACTOME_PRE_NOTCH_PROCESSING_IN_THE_ENDOPLASMIC_RETICULUM	6	5		
REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI	18	18		
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	120	40		
REACTOME_CHOLESTEROL_BIOSYNTHESIS	25	22		
REACTOME_SNRNP_ASSEMBLY	54	45		
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	34	34		
REACTOME_DIGESTION_OF_DIETARY_LIPID	7	7		
REACTOME_ANDROGEN_BIOSYNTHESIS	11	10		
REACTOME_ESTROGEN_BIOSYNTHESIS	6		Rejected!	
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL	24	24		
REACTOME_P75NTR_SIGNALS_VIA_NF_KB	16	15		
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK	59	51		
REACTOME_P75NTR_NEGATIVELY_REGULATES_CELL_CYCLE_VIA_SC1	6	5		
REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR	11	11		
REACTOME_P75NTR_REGULATES_AXONOGENESIS	10	8		
