SYMBOLS,logFC,AveExpr,t,P.Value,adj.P.Val,B
NFATC3,-0.159562417,5.012821869,-0.560719252,0.58614332,0.999966589,-4.626179473
EIF3G,-0.12665182,6.868332697,-0.560682481,0.586167546,0.999966589,-4.628013571
STK17A,0.244445787,7.27475227,0.560645285,0.586192052,0.999966589,-4.627764188
GALNT12,0.229237797,0.375396746,0.560561487,0.586247263,0.999966589,-4.607973212
LOC374443,0.219567225,2.612555559,0.560382326,0.586365315,0.999966589,-4.615283163
SLC36A4,0.21747233,4.647662725,0.560345261,0.586389739,0.999966589,-4.62442623
TP63,-0.707736054,1.099403444,-0.560316603,0.586408624,0.999966589,-4.606072787
SMYD3,-0.231829976,2.34374103,-0.56022869,0.586466558,0.999966589,-4.612582147
SPRED3,0.642097978,-2.012119629,0.560208074,0.586480144,0.999966589,-4.598816871
SNORA31B,0.451505518,-1.384991103,0.560112496,0.586543133,0.999966589,-4.598663519
TRMT61B,-0.173828825,1.809995039,-0.560084624,0.586561502,0.999966589,-4.607887215
PADI1,0.79346164,-0.725691587,0.559984243,0.586627662,0.999966589,-4.60643354
C9orf131,-0.424700487,-1.047678551,-0.559817649,0.58673747,0.999966589,-4.602582443
AIMP1,-0.13836753,4.923982839,-0.559792296,0.586754182,0.999966589,-4.622824493
SSH1,0.189180393,5.831632989,0.559787405,0.586757406,0.999966589,-4.627958282
MVB12B,0.205411582,4.40557629,0.559739873,0.586788738,0.999966589,-4.620532636
TEPSIN,-0.24408582,3.158522498,-0.559702234,0.58681355,0.999966589,-4.616483814
RTN4RL2,-0.708324099,-0.976416969,-0.559604855,0.586877746,0.999966589,-4.603314977
NCKAP5,-0.425096985,-1.121377716,-0.559510359,0.586940044,0.999966589,-4.603722529
NPC1,0.192499511,5.062922045,0.559383159,0.587023909,0.999966589,-4.627960783
ZMIZ2,0.318098688,5.709840031,0.559310931,0.587071533,0.999966589,-4.627974184
PLAC1,-0.56747898,3.520166566,-0.559175853,0.587160602,0.999966589,-4.607949758
HCAR3,0.516457475,3.560832607,0.559154164,0.587174905,0.999966589,-4.623477695
GSTZ1,0.299212597,3.615094507,0.559096137,0.58721317,0.999966589,-4.612921565
CYP2R1,-0.329203935,2.354634599,-0.559092214,0.587215756,0.999966589,-4.615119017
MRPS28,-0.220186915,2.975695301,-0.5590532,0.587241485,0.999966589,-4.611822067
PRKAR2A,0.128213756,5.627497486,0.558952248,0.587308061,0.999966589,-4.628017979
PIGP,0.30095528,2.712425945,0.558925264,0.587325858,0.999966589,-4.610109056
TRIM59,-0.24084591,1.634334575,-0.558890593,0.587348724,0.999966589,-4.61152738
RASGEF1A,0.331370942,1.529631389,0.558799699,0.587408673,0.999966589,-4.608253948
CHCHD2,0.131482693,6.374955356,0.558691688,0.587479916,0.999966589,-4.627831704
ZFC3H1,-0.212116585,5.777240983,-0.558652636,0.587505675,0.999966589,-4.628181267
TMEM184C,0.166697747,4.540376426,0.558600067,0.587540352,0.999966589,-4.623051212
SAR1B,0.168981672,5.562157169,0.558508024,0.587601069,0.999966589,-4.627073829
SLC35A4,-0.187863485,6.334575796,-0.558410781,0.58766522,0.999966589,-4.627138248
GUSBP2,0.285670284,0.151312304,0.558331638,0.587717434,0.999966589,-4.60403057
SAP30BP,-0.160411566,6.207041893,-0.55829177,0.587743736,0.999966589,-4.628028543
DPM3,-0.211103454,1.786819481,-0.558290765,0.587744399,0.999966589,-4.609998934
ANKRD26,-0.167056792,3.268517728,-0.558290757,0.587744405,0.999966589,-4.617293284
RMDN2,0.405788113,0.710185796,0.558125171,0.587853658,0.999966589,-4.605546981
MNDA,-0.647881113,6.549629828,-0.557942683,0.587974076,0.999966589,-4.628245763
RUVBL1,-0.150258029,3.954474054,-0.557934308,0.587979602,0.999966589,-4.621150281
SDS,0.580235214,4.652284788,0.557822189,0.588053593,0.999966589,-4.627272999
FBN1,1.064381225,5.053748873,0.557653715,0.588164783,0.999966589,-4.627313659
CALCOCO2,0.119499417,7.134637697,0.557648009,0.588168549,0.999966589,-4.628050204
TOR1B,-0.224919312,4.578998086,-0.557533712,0.588243989,0.999966589,-4.626473109
XCR1,0.838522879,0.699315318,0.557518826,0.588253815,0.999966589,-4.608384226
SACS,0.329800232,3.305351944,0.557461531,0.588291634,0.999966589,-4.62315911
LOC441601,0.282574355,-0.463184978,0.55731865,0.588385952,0.999966589,-4.601849934
LRPPRC,-0.157530984,6.166385736,-0.557285223,0.588408019,0.999966589,-4.628227476
CTSD,0.515544413,9.194214606,0.557269828,0.588418182,0.999966589,-4.621196928
POM121,-0.142120503,5.77939799,-0.557260954,0.588424041,0.999966589,-4.628159556
PMAIP1,0.424383021,6.26761383,0.557235522,0.58844083,0.999966589,-4.627798194
CDCP1,-0.31215029,2.829267806,-0.55714837,0.588498367,0.999966589,-4.620620618
MAP3K5,0.363847331,4.586329665,0.557055146,0.588559917,0.999966589,-4.625884671
HOXD3,0.587292296,-2.170483385,0.557002346,0.588594778,0.999966589,-4.602287468
MAP7D1,0.13576697,7.832081983,0.556984539,0.588606535,0.999966589,-4.626506669
TINAGL1,0.665389261,5.202063268,0.556886153,0.588671499,0.999966589,-4.626082386
SNX21,-0.20977133,1.939905251,-0.556742278,0.588766506,0.999966589,-4.608272685
EGR2,0.630030786,5.261554852,0.556481241,0.5889389,0.999966589,-4.627514552
FBXO11,0.139574842,5.700268594,0.556406523,0.58898825,0.999966589,-4.627951578
RNASEL,-0.324627934,3.251280511,-0.556310862,0.589051436,0.999966589,-4.616188057
CLIC5,0.330054734,4.564533175,0.556281318,0.589070951,0.999966589,-4.611888524
CLMN,0.152842595,5.954159832,0.556144885,0.589161076,0.999966589,-4.625331518
SYS1,0.16019557,4.866381384,0.556143837,0.589161768,0.999966589,-4.625876711
PIAS1,-0.114284667,5.56939751,-0.556079206,0.589204464,0.999966589,-4.627528555
SYNGR2,0.173051851,6.807100472,0.555872888,0.589340772,0.999966589,-4.627725491
CDC42BPG,-0.372234075,4.075210762,-0.555754988,0.589418672,0.999966589,-4.61478108
KNSTRN,-0.304483922,3.664085497,-0.555725754,0.589437989,0.999966589,-4.612856657
LOC100288123,-0.436058719,0.010023984,-0.555714895,0.589445164,0.999966589,-4.605097114
NCOA1,-0.180292203,6.324734235,-0.555647952,0.589489399,0.999966589,-4.628179828
EEF1AKMT1,-0.347119516,1.49814186,-0.555635728,0.589497477,0.999966589,-4.604844914
ZC3HC1,-0.197925407,2.30962185,-0.555583537,0.589531965,0.999966589,-4.609762563
YEATS2,0.272947687,4.250523367,0.555567485,0.589542573,0.999966589,-4.626294429
ODR4,0.154705449,4.237225871,0.555414737,0.589643517,0.999966589,-4.62233455
APOO,0.232879836,2.030806482,0.5551634,0.589809635,0.999966589,-4.608957078
TMSB4X,0.53700448,9.031213726,0.555095598,0.589854452,0.999966589,-4.622287421
LGSN,-1.152574861,-1.519884854,-0.555080596,0.589864369,0.999966589,-4.598768445
NEURL1B,-0.434300805,-1.272680899,-0.555072163,0.589869943,0.999966589,-4.601787195
PRTG,-0.642290301,-0.664446241,-0.555035114,0.589894433,0.999966589,-4.601367607
ZNF266,-0.336694568,5.209016569,-0.554975201,0.589934038,0.999966589,-4.627853163
FOXB1,-0.529711518,-2.060199382,-0.554666382,0.590138204,0.999966589,-4.600153099
KMO,0.340232982,5.72889803,0.554634475,0.590159301,0.999966589,-4.626872385
PRKD2,-0.172711354,5.857061913,-0.554507671,0.590243146,0.999966589,-4.627964806
ZFYVE26,0.209742282,5.028652458,0.55449336,0.590252609,0.999966589,-4.626642039
CNEP1R1,0.176450751,3.767221079,0.554482675,0.590259674,0.999966589,-4.616826737
RSRP1,0.217415468,6.104443117,0.554364473,0.590337838,0.999966589,-4.628201906
GTF2E1,0.187417638,2.960497856,0.554344273,0.590351196,0.999966589,-4.612182285
BRINP3,0.596728226,-2.860056441,0.554308099,0.590375118,0.999966589,-4.600625942
EPHB1,0.639286143,-0.016632661,0.554284503,0.590390723,0.999966589,-4.603944866
THOC1,0.166460311,4.168361355,0.554242199,0.5904187,0.999966589,-4.623546944
LOC100996351,-0.428355061,0.721481468,-0.554217627,0.590434951,0.999966589,-4.608658754
MEX3A,-0.397804269,-1.207126201,-0.554211163,0.590439226,0.999966589,-4.602013053
ZNF91,-0.271651808,5.22866247,-0.554050877,0.590545237,0.999966589,-4.620012721
CCT8,0.096046632,6.75438094,0.553979977,0.590592132,0.999966589,-4.628347184
BRICD5,-0.369093912,0.243723852,-0.553732996,0.590755508,0.999966589,-4.605154636
SMG1P6,0.21665143,1.652599086,0.553643252,0.590814879,0.999966589,-4.611675616
SPINT1,-0.436758921,5.214249031,-0.553637647,0.590818588,0.999966589,-4.626219009
MUC6,-0.430820023,-0.385221416,-0.55360185,0.59084227,0.999966589,-4.603672871
ZNF420,0.180118875,1.790504892,0.553575763,0.59085953,0.999966589,-4.607489501
NOA1,0.135710269,4.575818387,0.553533625,0.590887408,0.999966589,-4.62223927
TTC5,-0.26714409,2.649518123,-0.553460819,0.590935579,0.999966589,-4.613348413
NR2C2,0.181283339,4.045270618,0.553425098,0.590959214,0.999966589,-4.622066532
TFG,0.197893787,7.04511966,0.553407703,0.590970724,0.999966589,-4.628325411
TREX2,-0.454255275,-1.658364638,-0.55334716,0.591010784,0.999966589,-4.599790156
